type,value,label,remarks
Cities,429,Tanjong Sepat,Selangor
Cities,430,Telok Panglima Garang,Selangor
Cities,431,Ajil,Terengganu
Cities,432,Al Muktatfi Billah Shah,Terengganu
Cities,433,Ayer Puteh,Terengganu
Cities,434,Bukit Besi,Terengganu
Cities,435,Bukit Payong,Terengganu
Cities,436,Ceneh,Terengganu
Cities,437,Chalok,Terengganu
Cities,438,Cukai,Terengganu
Cities,439,Dungun,Terengganu
Cities,440,Jerteh,Terengganu
Cities,441,Kampung Raja,Terengganu
Cities,442,Kemasek,Terengganu
Cities,443,Kerteh,Terengganu
Cities,444,Ketengah Jaya,Terengganu
Cities,445,Kijal,Terengganu
Cities,446,Kuala Berang,Terengganu
Cities,447,Kuala Besut,Terengganu
Cities,448,Kuala Terengganu,Terengganu
Cities,449,Marang,Terengganu
Cities,450,Paka,Terengganu
Cities,451,Permaisuri,Terengganu
Cities,452,Sungai Tong,Terengganu
Cities,453,Batu Caves,WP Kuala Lumpur
Cities,454,Kuala Lumpur,WP Kuala Lumpur
Cities,455,Setapak,WP Kuala Lumpur
Cities,456,Labuan,WP Labuan
Cities,457,Putrajaya,WP Putrajaya
Cities,458,Johor,Johor
Cities,459,Kedah,Kedah
Cities,460,Kelantan,Kelantan
Cities,461,Melaka,Melaka
Cities,462,Negeri Sembilan,Negeri Sembilan
Cities,463,Pahang,Pahang
Cities,464,Perak,Perak
Cities,465,Perlis,Perlis
Cities,466,Pulau Pinang,Pulau Pinang
Cities,467,Sabah,Sabah
Cities,468,Sarawak,Sarawak
Cities,469,Selangor,Selangor
Cities,470,Terengganu,Terengganu
Networks,1,DiGi,
Networks,2,Celcom,
Networks,3,Maxis,
Networks,4,U Mobile,
Networks,5,YTL Comm,
Networks,6,Pava Comm,
Networks,7,Talk Focus,
Networks,8,Samata,
Networks,9,My Evo,
